CustomerKey;First Name;Middle Name;Last Name;Full Name;Gender;AddressLine1;AddressLine2;Phone;DateFirstPurchase;Customer City
11043;Nathan;M;Simmons;Nathan M Simmons;Male;1170 Shaw Rd;;296-555-0181;2022-05-08;Glendale
11044;Adam;L;Flores;Adam L Flores;Male;6935 Candle Dr;;1 (11) 500 555-0163;2020-02-28;Hervey Bay
11045;Leonard;G;Nara;Leonard G Nara;Male;7466 La Vista Ave.;;1 (11) 500 555-0151;2022-04-10;Matraville
11046;Christine;;Yuan;Christine Yuan;Female;2356 Orange St;;1 (11) 500 555-0113;2020-02-06;Lavender Bay
11047;Jaclyn;D;Lu;Jaclyn D Lu;Female;2812 Mazatlan;;1 (11) 500 555-0137;2020-02-03;Geelong
11048;Jeremy;;Powell;Jeremy Powell;Male;1803 Potomac Dr.;;1 (11) 500 555-0183;2020-02-10;Sunbury
11049;Carol;C;Rai;Carol C Rai;Female;6064 Madrid;;654-555-0180;2022-03-09;Chula Vista
11050;Alan;;Zheng;Alan Zheng;Male;2741 Gainborough Dr.;;1 (11) 500 555-0135;2020-02-20;Hobart
11051;Daniel;;Johnson;Daniel Johnson;Male;8085 Sunnyvale Avenue;;1 (11) 500 555-0155;2022-12-29;Caloundra
11052;Heidi;;Lopez;Heidi Lopez;Female;2514 Via Cordona;;1 (11) 500 555-0168;2020-02-17;Matraville
11053;Ana;E;Price;Ana E Price;Female;1660 Stonyhill Circle;;859-555-0113;2022-01-17;San Diego
11054;Deanna;;Munoz;Deanna Munoz;Female;5825 B Way;;1 (11) 500 555-0192;2020-02-03;Geelong
11055;Gilbert;;Raje;Gilbert Raje;Male;8811 The Trees Dr.;;1 (11) 500 555-0129;2020-01-31;East Brisbane
11056;Michele;L;Nath;Michele L Nath;Female;5464 Janin Pl.;;1 (11) 500 555-0178;2020-02-26;Newcastle
11057;Carl;J;Andersen;Carl J Andersen;Male;6930 Lake Nadine Place;;1 (11) 500 555-0181;2020-02-22;Lane Cove
11058;Marc;;Diaz;Marc Diaz;Male;6645 Sinaloa;;1 (11) 500 555-0149;2020-03-09;Findon
11059;Ashlee;J;Andersen;Ashlee J Andersen;Female;8255 Highland Road;;1 (11) 500 555-0112;2022-02-18;Townsville
11060;Jon;L;Zhou;Jon L Zhou;Male;6574 Hemlock Ave.;;1 (11) 500 555-0174;2020-03-19;Warrnambool
11061;Todd;M;Gao;Todd M Gao;Male;8808 Geneva Ave;;1 (11) 500 555-0191;2020-03-13;Gold Coast
11062;Noah;D;Powell;Noah D Powell;Male;9794 Marion Ct;;767-555-0113;2022-01-07;Portland
11063;Angela;;Murphy;Angela Murphy;Female;4927 Virgil Street;# 21;451-555-0162;2022-01-12;Redmond
11064;Chase;;Reed;Chase Reed;Male;2721 Alexander Pl.;;892-555-0184;2022-01-25;Downey
11065;Jessica;;Henderson;Jessica Henderson;Female;9343 Ironwood Way;;278-555-0186;2022-02-10;La Jolla
11066;Grace;T;Butler;Grace T Butler;Female;4739 Garden Ave.;;712-555-0141;2022-05-31;Lebanon
11067;Caleb;F;Carter;Caleb F Carter;Male;9563 Pennsylvania Blvd.;;944-555-0167;2022-08-18;Port Orchard
11068;Tiffany;;Liang;Tiffany Liang;Female;3608 Sinclair Avenue;# 701;1 (11) 500 555-0177;2022-04-30;Warrnambool
11069;Carolyn;;Navarro;Carolyn Navarro;Female;4606 Springwood Court;;1 (11) 500 555-0145;2020-04-17;Gold Coast
11070;Willie;T;Raji;Willie T Raji;Male;6260 Vernal Drive;;1 (11) 500 555-0151;2020-04-28;Sunbury
11071;Linda;;Serrano;Linda Serrano;Female;9808 Shaw Rd.;;1 (11) 500 555-0130;2022-03-01;Hawthorne
11072;Casey;;Luo;Casey Luo;Female;9513 Roslyn Drive;;1 (11) 500 555-0125;2020-03-31;St. Leonards
11073;Amy;;Ye;Amy Ye;Female;2262 Kirkwood Ct.;;1 (11) 500 555-0185;2022-03-23;Springwood
11074;Levi;A;Arun;Levi A Arun;Male;4661 Bluetail;;1 (11) 500 555-0127;2022-03-23;Cloverdale
11075;Felicia;L;Jimenez;Felicia L Jimenez;Female;786 Eastgate Ave;;1 (11) 500 555-0165;2020-04-28;Bendigo
11076;Blake;;Anderson;Blake Anderson;Male;5436 Clear;# 101;1 (11) 500 555-0113;2020-04-21;Wollongong
11077;Leah;;Ye;Leah Ye;Female;1291 Arguello Blvd.;;1 (11) 500 555-0154;2020-04-15;Melton
11078;Gina;E;Martin;Gina E Martin;Female;1349 Sol St.;;196-555-0114;2022-02-15;Cliffside
11079;Donald;;Gonzalez;Donald Gonzalez;Male;4236 Malibu Place;;1 (11) 500 555-0137;2022-03-15;Geelong
11080;Damien;;Chander;Damien Chander;Male;9941 Stonehedge Dr.;;1 (11) 500 555-0111;2020-04-10;Perth
11081;Savannah;C;Baker;Savannah C Baker;Female;1210 Trafalgar Circle;;478-555-0117;2022-02-12;Concord
11082;Angela;L;Butler;Angela L Butler;Female;6040 Listing Ct;;579-555-0195;2022-01-22;Fremont
11083;Alyssa;F;Cox;Alyssa F Cox;Female;867 La Orinda Place;;561-555-0140;2022-01-06;Lincoln Acres
11084;Lucas;;Phillips;Lucas Phillips;Male;8668 St. Celestine Court;;863-555-0172;2022-01-04;Lebanon
11085;Emily;;Johnson;Emily Johnson;Female;7926 Stephanie Way;;850-555-0184;2022-12-06;Newport Beach
11086;Ryan;;Brown;Ryan Brown;Male;2939 Wesley Ct.;;539-555-0198;2022-07-02;Santa Monica
11087;Tamara;L;Liang;Tamara L Liang;Female;3791 Rossmor Parkway;;178-555-0152;2022-02-25;Chula Vista
11088;Hunter;;Davis;Hunter Davis;Male;4308 Sand Pointe Lane;;612-555-0141;2022-01-13;San Diego
11089;Abigail;M;Price;Abigail M Price;Female;2685 Blackburn Ct;;532-555-0117;2021-12-29;Long Beach
11090;Trevor;;Bryant;Trevor Bryant;Male;5781 Sharon Dr.;;853-555-0174;2020-08-07;Los Angeles
11091;Dalton;;Perez;Dalton Perez;Male;6083 San Jose;;559-555-0115;2022-01-29;Haney
11092;Cheryl;A;Diaz;Cheryl A Diaz;Female;7297 Kaywood Drive;;1 (11) 500 555-0192;2020-04-08;East Brisbane
11093;Aimee;A;He;Aimee A He;Female;1833 Olympic Drive;;1 (11) 500 555-0161;2020-04-07;Wollongong
11094;Cedric;W;Ma;Cedric W Ma;Male;3407 Oak Brook Place;;1 (11) 500 555-0115;2022-04-07;Cranbourne
11095;Chad;;Kumar;Chad Kumar;Male;1681 Lighthouse Way;;1 (11) 500 555-0151;2020-04-01;Port Macquarie
11096;Andrés;;Anand;Andrés Anand;Male;5423 Los Gatos Ct.;;1 (11) 500 555-0184;2020-04-11;North Sydney
11097;Edwin;R;Nara;Edwin R Nara;Male;719 William Way;;1 (11) 500 555-0112;2020-04-04;Warrnambool
11098;Mallory;S;Rubio;Mallory S Rubio;Female;6452 Harris Circle;;1 (11) 500 555-0157;2022-02-11;Rhodes
11099;Adam;;Ross;Adam Ross;Male;4378 Westminster Place;;1 (11) 500 555-0186;2020-04-07;Port Macquarie
11100;Latasha;L;Navarro;Latasha L Navarro;Female;6954 Ranch Road;;1 (11) 500 555-0123;2020-04-16;Cloverdale
11101;Abby;L;Sai;Abby L Sai;Female;7074 N. Spoonwood Court;;1 (11) 500 555-0174;2020-04-29;Cranbourne
11102;Julia;L;Nelson;Julia L Nelson;Female;2196 Coat Ct.;;1 (11) 500 555-0124;2022-07-16;Sydney
11103;Cassie;;Chande;Cassie Chande;Female;9448 San Marino Ct.;;1 (11) 500 555-0166;2020-04-15;Darlinghurst
11104;Edgar;A;Sara;Edgar A Sara;Male;6127 Lilly Lane;;1 (11) 500 555-0125;2020-05-04;Gold Coast
11105;Candace;;Fernandez;Candace Fernandez;Female;5029 Blue Ridge;;1 (11) 500 555-0162;2020-05-14;Matraville
11106;Jessie;;Liu;Jessie Liu;Male;3063 Blue Jay Drive;;1 (11) 500 555-0163;2020-05-18;Warrnambool
11107;Bianca;;Lin;Bianca Lin;Female;7530 Eola;;1 (11) 500 555-0121;2020-05-01;St. Leonards
11108;Kari;C;Alvarez;Kari C Alvarez;Female;9178 Thornhill Place;;1 (11) 500 555-0169;2020-05-03;Port Macquarie
11109;Ruben;D;Kapoor;Ruben D Kapoor;Male;1984 Glendale Circle;;1 (11) 500 555-0132;2020-05-10;South Melbourne
11110;Curtis;;Yang;Curtis Yang;Male;4052 Mt. Wilson Way;;1 (11) 500 555-0127;2020-05-01;Darlinghurst
11111;Meredith;T;Gutierrez;Meredith T Gutierrez;Female;7610 Northridge Ct.;;1 (11) 500 555-0179;2020-05-20;Geelong
11112;Crystal;C;Wang;Crystal C Wang;Female;2773 Kirkwood Dr;;1 (11) 500 555-0134;2020-05-25;Hervey Bay
11113;Micheal;A;Blanco;Micheal A Blanco;Male;596 Marfargoa Drive;;1 (11) 500 555-0131;2022-02-01;Perth
11114;Leslie;C;Moreno;Leslie C Moreno;Female;7941 Cristobal;;1 (11) 500 555-0115;2022-03-18;Rhodes
11115;Alvin;D;Cai;Alvin D Cai;Male;7759 Azalea Avenue;;1 (11) 500 555-0191;2022-02-10;St. Leonards
11116;Clinton;E;Carlson;Clinton E Carlson;Male;7943 Cunha Ct.;;1 (11) 500 555-0184;2022-03-15;Sydney
11117;April;;Deng;April Deng;Female;485 Ash Lane;;1 (11) 500 555-0182;2020-05-06;Matraville
11118;Alvin;M;Zeng;Alvin M Zeng;Male;3853 Wildcat Circle;Unit 13c12;1 (11) 500 555-0174;2022-07-10;Lavender Bay
11119;Evan;V;James;Evan V James;Male;4157 Sierra Ridge;;1 (11) 500 555-0187;2022-02-03;Port Macquarie
11120;Beth;H;Jiménez;Beth H Jiménez;Female;7401 Las Palmas;;1 (11) 500 555-0164;2020-05-14;Sydney
11121;Orlando;;Suarez;Orlando Suarez;Male;7743 Hames Dr;;1 (11) 500 555-0198;2022-06-24;Newcastle
11122;Byron;;Vazquez;Byron Vazquez;Male;3187 Hackamore Lane;;1 (11) 500 555-0136;2022-02-21;North Sydney
11123;Philip;A;Alvarez;Philip A Alvarez;Male;2775 Mt. Olivet Pl.;;1 (11) 500 555-0191;2022-04-17;Sunbury
11124;Ross;F;Jordan;Ross F Jordan;Male;6973 Dublin Court;;1 (11) 500 555-0126;2020-05-05;Warrnambool
11125;Dana;J;Navarro;Dana J Navarro;Female;8481 Zartop Street;;1 (11) 500 555-0172;2022-01-31;Seaford
11126;Shaun;;Carson;Shaun Carson;Male;57 Wolf Way;;1 (11) 500 555-0155;2020-05-28;North Ryde
11127;Jan;;Edwards;Jan Edwards;Female;9409 The Alameda;;111-555-0118;2022-04-10;San Gabriel
11128;Samantha;;Long;Samantha Long;Female;1606 Alderwood Lane;;175-555-0139;2022-06-19;Renton
11129;Julia;M;Wright;Julia M Wright;Female;7397 Central Blvd.;;456-555-0174;2020-08-06;Sedro Woolley
11130;Caroline;L;Russell;Caroline L Russell;Female;3884 Bates Court;;424-555-0137;2022-12-09;Lebanon
11131;Amanda;;Rivera;Amanda Rivera;Female;9573 Royal Oak Rd.;;918-555-0126;2022-10-18;Haney
11132;Melissa;E;Richardson;Melissa E Richardson;Female;6832 Fruitwood Dr;;928-555-0118;2022-04-09;Langford
11133;Angela;;Griffin;Angela Griffin;Female;3828 Baltic Sea Ct;;598-555-0174;2022-12-30;Lake Oswego
11134;Larry;D;Townsend;Larry D Townsend;Male;7034 Carson;;1 (11) 500 555-0130;2020-05-03;Perth
11135;Marcus;L;Harris;Marcus L Harris;Male;9068 Quiet Place Drive;;442-555-0119;2022-04-18;Burlingame
11136;Brianna;D;Morgan;Brianna D Morgan;Female;9005 Eagle Ct.;;954-555-0117;2022-01-03;Metchosin
11137;Jasmine;A;Taylor;Jasmine A Taylor;Female;2457 Matterhorn Court;;557-555-0146;2022-07-31;Spokane
11138;Lauren;;Davis;Lauren Davis;Female;8105 Pembrook Court;;832-555-0121;2022-09-19;Glendale
11139;Tanya;;Moreno;Tanya Moreno;Female;6155 Wilbur Drive;;1 (11) 500 555-0185;2022-09-14;Cloverdale
11140;Javier;L;Alvarez;Javier L Alvarez;Male;8935 Etcheverry Dr.;;763-555-0134;2022-03-19;Burbank
11141;Nicole;;Ramirez;Nicole Ramirez;Female;1101 C Street;;152-555-0162;2022-05-16;Daly City
11142;Eduardo;;Patterson;Eduardo Patterson;Male;6255 Macalvey Dr.;;190-555-0184;2022-02-13;Langford
11143;Jonathan;M;Henderson;Jonathan M Henderson;Male;165 East Lane Road;;149-555-0113;2022-06-15;Lakewood
11144;Edward;;Hernandez;Edward Hernandez;Male;7607 Pine Hollow Road;;178-555-0196;2022-01-25;Ballard
11145;Jasmine;L;Coleman;Jasmine L Coleman;Female;1961 Oak Grove Road;;857-555-0115;2022-01-25;Beaverton
11146;Karla;L;Goel;Karla L Goel;Female;3272 Corrie Lane;;1 (11) 500 555-0137;2022-02-05;Matraville
11147;Ernest;L;Wu;Ernest L Wu;Male;1832 RiverRock Dr;;1 (11) 500 555-0139;2020-05-13;Warrnambool
11148;Ross;;Vazquez;Ross Vazquez;Male;1201 Paso Del Rio Way;;1 (11) 500 555-0163;2022-03-07;East Brisbane
11149;Theodore;;Gill;Theodore Gill;Male;9120 Pinewood Court;;1 (11) 500 555-0194;2022-06-04;Hervey Bay
11150;Russell;M;Shen;Russell M Shen;Male;4755 Easley Drive;;1 (11) 500 555-0191;2022-03-27;Sunbury
11151;Melinda;G;Gill;Melinda G Gill;Female;805 Rainier Dr.;;1 (11) 500 555-0117;2020-05-15;Sydney
11152;James;J;Williams;James J Williams;Male;6827 Seagull Court;;355-555-0153;2022-01-09;Puyallup
11153;Angela;R;James;Angela R James;Female;8877 Weatherly Drive;;847-555-0111;2022-03-29;Renton
11154;Megan;G;Walker;Megan G Walker;Female;6898 Holiday Hills;;918-555-0186;2022-01-10;Woodburn
11155;Hunter;J;Robinson;Hunter J Robinson;Male;8356 Mori Court;;891-555-0125;2022-01-06;Burbank
11156;Maria;;Roberts;Maria Roberts;Female;9452 Mariposa Ct.;;158-555-0199;2022-01-08;Lakewood
11157;Hannah;E;Long;Hannah E Long;Female;1832 Preston Ct.;;974-555-0177;2022-07-24;Tacoma
11158;Jason;K;Wright;Jason K Wright;Male;6771 Bundros Court;;694-555-0176;2022-01-19;San Gabriel
11159;Brianna;A;Hughes;Brianna A Hughes;Female;6793 Bonifacio St.;;319-555-0183;2022-09-08;Woodland Hills
11160;Maurice;M;Tang;Maurice M Tang;Male;2886 Chaparral Court;Space # 45;947-555-0172;2022-02-21;Concord
11161;Emily;;Wood;Emily Wood;Female;1562 Black Walnut;;184-555-0114;2022-06-01;Concord
11162;Chase;;Cox;Chase Cox;Male;P.O. Box 8070;;764-555-0116;2022-02-18;La Jolla
11163;Gabriel;;Wang;Gabriel Wang;Male;8002 Crane Court;;617-555-0150;2022-05-01;Spring Valley
11164;Devin;;Brooks;Devin Brooks;Male;4231 Highland Dr.;;502-555-0138;2022-04-27;Torrance
11165;Jocelyn;;Alexander;Jocelyn Alexander;Female;3376 Bank Way;;354-555-0134;2022-05-25;Oakland
11166;Ashley;;Martinez;Ashley Martinez;Female;6993 Whyte Park Ave.;;131-555-0194;2022-10-14;Olympia
11167;Jasmine;J;Barnes;Jasmine J Barnes;Female;9183 Via Del Sol;;178-555-0156;2022-01-07;Issaquah
11168;David;;Rodriguez;David Rodriguez;Male;38 Shangri-la Rd.;;730-555-0128;2022-01-15;Oakland
11169;Bryce;;Richardson;Bryce Richardson;Male;1841 Blackwood Drive;;178-555-0176;2022-05-26;Coronado
11170;Carol;T;Howard;Carol T Howard;Female;6281 Edward Ave;;845-555-0127;2022-08-26;Burien
11171;Jonathan;E;Hill;Jonathan E Hill;Male;3731 Chinquapin Ct;;134-555-0196;2020-08-20;Woodland Hills
11172;Gabrielle;J;Adams;Gabrielle J Adams;Female;5621 Arcadia Pl.;;403-555-0152;2022-05-03;Lynnwood
11173;Sarah;F;Thomas;Sarah F Thomas;Female;5636 Mt. Whitney Dr.;;868-555-0188;2022-03-02;W. Linn
11174;Nicholas;;Robinson;Nicholas Robinson;Male;1318 Lasalle Street;;949-555-0138;2022-07-13;Los Angeles
11175;Luis;;Wang;Luis Wang;Male;6943 Patterson Blvd.;;418-555-0127;2020-08-28;Beverly Hills
11176;Mason;D;Roberts;Mason D Roberts;Male;5753 Megan Dr.;;539-555-0162;2022-02-02;Haney
11177;Jose;M;Flores;Jose M Flores;Male;3991 Rambling Rose Drive;;157-555-0182;2022-03-29;San Diego
11178;Nathan;J;Johnson;Nathan J Johnson;Male;8927 Daylight Place;;117-555-0182;2022-02-21;Lakewood
11179;Molly;E;Rodriguez;Molly E Rodriguez;Female;5556 Riverland Dr.;;135-555-0185;2022-03-12;Beverly Hills
11180;April;;Anand;April Anand;Female;3531 Brookview Drive;;702-555-0144;2022-03-17;Chula Vista
11181;Devin;P;Martin;Devin P Martin;Male;1085 Greenbelt Way;Unit B-105;735-555-0197;2022-05-07;Los Angeles
11182;Stephanie;;Torres;Stephanie Torres;Female;6968 Mildred Ln.;;567-555-0176;2022-08-28;Sedro Woolley
11183;Jasmine;W;Lee;Jasmine W Lee;Female;7502 Contuti Avenue;;147-555-0199;2022-04-30;Santa Cruz
11184;Meghan;;Hernandez;Meghan Hernandez;Female;5872 L St.;;967-555-0188;2022-08-10;Concord
11185;Ashley;;Henderson;Ashley Henderson;Female;8834 San Jose Ave.;;173-555-0121;2022-02-21;Metchosin
11186;Sarah;C;Price;Sarah C Price;Female;4815 Paraiso Ct.;;180-555-0133;2022-10-18;Palo Alto
11187;Jennifer;S;Cooper;Jennifer S Cooper;Female;2429 Longview Road;;857-555-0111;2022-04-03;Burien
11188;Catherine;;Morris;Catherine Morris;Female;6542 Stonewood Drive;;795-555-0117;2022-11-01;San Gabriel
11189;Lawrence;W;Blanco;Lawrence W Blanco;Male;7502 Contuti Avenue;;656-555-0171;2020-08-26;Bellingham
11190;Carson;;Bryant;Carson Bryant;Male;2995 Youngsdale Dr.;;240-555-0142;2022-08-28;Beverly Hills
11191;Kristi;E;Perez;Kristi E Perez;Female;1769 Lislin Ct;;123-555-0181;2020-08-11;Colma
11192;James;C;Brown;James C Brown;Male;673 Old Mountain View Dr.;;725-555-0117;2022-06-23;Seattle
11193;Ian;A;Gray;Ian A Gray;Male;5941 Gill Dr.;;596-555-0190;2022-02-25;Woodburn
11194;Jacqueline;R;Price;Jacqueline R Price;Female;872 Mark Twain Dr;;266-555-0112;2022-03-13;Palo Alto
11195;Megan;;Henderson;Megan Henderson;Female;8411 Mt. Olivet Place;;560-555-0150;2022-04-14;Renton
11196;Alfredo;;Romero;Alfredo Romero;Male;2499 Greendell Pl;;342-555-0110;2022-03-03;Beaverton
11197;Andrea;;Morris;Andrea Morris;Female;1883 Green View Court;;715-555-0178;2022-05-02;Seattle
11198;Brooke;;Sanders;Brooke Sanders;Female;5192 Dumbarton Drive;;215-555-0156;2022-02-05;Santa Cruz
11199;Jacqueline;;Bennett;Jacqueline Bennett;Female;8948 Chinquapin Court;;413-555-0174;2022-03-18;Burlingame
11200;Jason;L;Griffin;Jason L Griffin;Male;7239 Nicholas Drive;;232-555-0160;2022-02-07;Victoria
11201;Amanda;;Foster;Amanda Foster;Female;3984 San Francisco;;505-555-0159;2022-07-01;Santa Monica
11202;Alexia;L;Price;Alexia L Price;Female;2079 Wellington Ct;;552-555-0118;2022-09-15;Lakewood
11203;Luis;D;Diaz;Luis D Diaz;Male;3682 Diablo View Road;;171-555-0126;2022-02-20;Port Hammond
11204;Destiny;C;Rivera;Destiny C Rivera;Female;6965 Appalachian Drive;;743-555-0111;2022-08-09;Beaverton
11205;Abby;;Fernandez;Abby Fernandez;Female;8330 Glenside Court;;134-555-0119;2022-07-27;Burien
11206;Blake;;Flores;Blake Flores;Male;9410 Ferry St.;;975-555-0163;2022-05-11;Lynnwood
11207;Danielle;;Cox;Danielle Cox;Female;2346 Wren Ave;;396-555-0158;2022-01-31;Renton
11208;Maria;;Reed;Maria Reed;Female;1413 Bridgeview St;;156-555-0163;2022-03-04;Glendale
11209;Allison;;Evans;Allison Evans;Female;3515 Sutton Circle;;988-555-0151;2022-03-25;Lincoln Acres
11210;Edward;J;Wood;Edward J Wood;Male;1039 Adelaide St.;;229-555-0114;2022-05-06;West Covina
11211;Samantha;;Russell;Samantha Russell;Female;9256 Village Oaks Dr.;;547-555-0121;2022-02-01;Haney
11212;Chloe;;Campbell;Chloe Campbell;Female;3562 East Ave.;# 4;205-555-0169;2022-01-30;Metchosin
11213;Stephanie;B;Murphy;Stephanie B Murphy;Female;5514 Grant Street;;293-555-0151;2022-03-28;Edmonds
11214;Charles;O;Miller;Charles O Miller;Male;2719 Little Dr;;389-555-0115;2022-08-14;Milwaukie
11215;Ana;;Perry;Ana Perry;Female;3114 Arlington Way;;446-555-0134;2022-02-15;Royal Oak
11216;Jasmine;A;Torres;Jasmine A Torres;Female;8328 San Francisco;;939-555-0130;2020-08-15;Portland
11217;Natalie;P;Adams;Natalie P Adams;Female;6592 Bent Tree Lane;;300-555-0150;2020-08-10;Portland
11218;Olivia;;Brown;Olivia Brown;Female;3964 Stony Hill Circle;;414-555-0147;2022-02-28;Tacoma
11219;Charles;;Cook;Charles Cook;Male;6871 Bel Air Dr.;;755-555-0111;2022-10-29;Woodburn
11220;Erica;C;Huang;Erica C Huang;Female;9142 All Ways Drive;;618-555-0157;2022-03-14;Colma
11221;Nathan;;Perry;Nathan Perry;Male;9714 Nicholas Drive;;271-555-0191;2022-04-07;Lakewood
11222;Alexandra;;Rivera;Alexandra Rivera;Female;4999 Corte Segunda;;488-555-0143;2022-11-01;Santa Monica
11223;Hailey;I;Patterson;Hailey I Patterson;Female;5045 Vancouver Way;# 133;480-555-0126;2022-01-29;Langley
11224;Tiffany;J;Li;Tiffany J Li;Female;6404 Del Mar Ave;;197-555-0118;2020-08-07;Burien
11225;Madison;D;Lee;Madison D Lee;Female;5927 Seaview Avenue;;471-555-0142;2022-06-22;Renton
11226;Sydney;T;Ross;Sydney T Ross;Female;5252 Santa Fe;;219-555-0146;2022-02-21;W. Linn
11227;Marshall;D;Chavez;Marshall D Chavez;Male;9022 Estudillo Street;;712-555-0116;2020-08-03;Colma
11228;Ashley;R;Jones;Ashley R Jones;Female;7681 Willow Pass Road;;996-555-0169;2022-10-25;El Cajon
